record_id,created_at,kind,status,pages,model,ai_images,duration_seconds,topic_present,error_present


61bbcb34e059,2026-08-14T00:18:37,plan,done,auto,gpt-5.6-sol,1,36.1,True,False


beb9df56e190,2026-08-14T00:19:21,generate,done,10,gpt-5.6-sol,1,1210.8,True,False


68ed86f6b68c,2026-08-14T00:51:31,generate,done,auto,gpt-5.6-sol,1,2745.6,True,False


61889faf4b4c,2026-08-14T03:07:25,plan,done,auto,gpt-5.6-sol,1,48.2,False,False


1b17fdd9cd2f,2026-08-14T03:08:32,generate,done,12,gpt-5.6-sol,1,1988.1,False,False


379a5c809549,2026-08-18T06:23:07,plan,done,auto,gpt-5.6-sol,1,974.2,True,False


caa42eee7e03,2026-08-19T03:59:35,plan,done,auto,gpt-5.6-sol,0,55.8,False,False


3003b3e73d98,2026-08-19T04:07:35,generate,done,9,gpt-5.6-sol,0,1642.8,False,False


c4944210e520,2026-08-19T04:46:58,generate,done,auto,gpt-5.6-sol,0,876.6,False,False


9e2dfc2f9a1f,2026-08-19T06:52:28,plan,done,auto,gpt-5.6-sol,1,47.1,False,False


9c4f7000107c,2026-08-19T07:09:47,plan,done,auto,gpt-5.6-sol,0,54.0,False,False


b7a994725a93,2026-08-19T07:10:45,generate,done,10,gpt-5.6-sol,0,1374.1,False,False


72f076711693,2026-08-20T01:15:30,plan,done,auto,gpt-5.6-sol,0,60.4,False,False


bf81300b35ac,2026-08-20T01:18:35,generate,done,10,gpt-5.6-sol,0,2211.9,False,False


a848850d30b4,2026-08-20T03:22:04,plan,done,auto,gpt-5.6-sol,0,46.4,False,False


7a96924f38be,2026-08-20T03:23:11,generate,done,8,gpt-5.6-sol,0,1008.6,False,False


4bb61286da3c,2026-08-20T11:57:54,generate,done,auto,gpt-5.6-sol,1,1860.0,False,False


64b869a956ed,2026-08-21T08:16:41,plan,done,auto,gpt-5.6-sol,0,35.7,False,False


07eac548f3af,2026-08-21T08:18:52,generate,done,9,gpt-5.6-sol,0,2057.8,False,False


7cfb123fac25,2026-08-21T09:12:41,plan,done,20,gpt-5.6-sol,0,86.4,False,False


0a85053f52eb,2026-08-21T09:14:14,generate,done,20,gpt-5.6-sol,0,372.0,False,False


00a4d3357662,2026-08-21T13:06:43,plan,done,20,gpt-5.6-sol,1,86.5,False,False


b8858592cabd,2026-08-21T13:08:58,generate,done,20,gpt-5.6-sol,1,2026.3,False,False


ce8684d38fb4,2026-08-21T14:41:48,plan,done,auto,gpt-5.6-sol,1,83.1,False,False


89f115cdd4b4,2026-08-21T14:43:16,generate,done,10,gpt-5.6-sol,1,944.6,False,False


554fbd3d4487,2026-08-21T16:00:15,plan,done,auto,gpt-5.6-sol,1,239.0,False,False


86186d9dbeb0,2026-08-21T16:13:41,generate,done,10,gpt-5.6-sol,1,991.1,False,False


7fef484a45e0,2026-08-21T16:46:00,generate,done,auto,gpt-5.6-sol,1,224.5,False,False


15752ff4256a,2026-08-22T06:10:56,plan,done,auto,gpt-5.6-sol,1,41.0,False,False


1c8d9f142bef,2026-08-22T06:14:04,generate,done,24,gpt-5.6-sol,1,1375.4,False,False


413816af8d2b,2026-08-22T06:56:09,plan,done,auto,gpt-5.6-sol,1,53.7,False,False


f0868e65cf00,2026-08-22T06:57:27,generate,done,13,gpt-5.6-sol,1,1734.5,False,False


8656022b853b,2026-08-22T07:35:58,plan,done,auto,gpt-5.6-sol,0,57.3,False,False


8431f574f10e,2026-08-22T07:37:14,generate,done,13,gpt-5.6-sol,0,610.1,False,False


854a348b9b5f,2026-08-23T01:17:56,plan,done,auto,gpt-5.6-sol,0,39.1,False,False


36fd2889817b,2026-08-23T04:02:17,plan,done,auto,gpt-5.6-sol,0,40.0,False,False


2f81130eaa51,2026-08-23T04:06:18,generate,done,10,gpt-5.6-sol,0,1418.0,False,False


798c3b61b9d2,2026-08-23T04:38:19,plan,done,auto,gpt-5.6-sol,0,44.7,False,False


8f95b2091c4d,2026-08-23T04:47:22,generate,done,10,gpt-5.6-sol,0,667.1,False,False


e9f49f4ea0ca,2026-08-23T11:34:28,plan,done,auto,gpt-5.6-sol,1,47.3,False,False


9ae6ac4a8ff7,2026-08-23T11:35:18,generate,done,10,gpt-5.6-sol,1,1152.9,False,False


d29e19547762,2026-08-23T13:18:28,plan,done,auto,gpt-5.6-sol,1,42.8,False,False


a26aa0e8ec5d,2026-08-23T14:05:23,plan,done,auto,gpt-5.6-sol,1,42.2,False,False


7828e35fe5d7,2026-08-23T14:06:08,generate,done,11,gpt-5.6-sol,1,1224.6,False,False
